,Pokemon,Teammate,Use_Percentage (%)
3318,Lickilicky,Hatterene,20.557%
3319,Lickilicky,Slowking,16.829%
3320,Lickilicky,Torkoal,16.813%
3321,Lickilicky,Rillaboom,12.817%
3322,Rotom-Fan,Rillaboom,88.324%
3323,Rotom-Fan,Primarina,87.438%
3324,Rotom-Fan,Incineroar,85.839%
3325,Rotom-Fan,Dusclops,85.723%
3326,Rotom-Fan,Indeedee-F,84.987%
3327,Rotom-Fan,Tyranitar,5.631%
3328,Rotom-Fan,Excadrill,3.979%
3329,Rotom-Fan,Volcarona,3.121%
3330,Rotom-Fan,Snorlax,3.115%
3331,Rotom-Fan,Aegislash,3.109%
3332,Hitmonlee,Rillaboom,39.724%
3333,Hitmonlee,Comfey,30.709%
3334,Hitmonlee,Indeedee,28.575%
3335,Hitmonlee,Milotic,20.809%
3336,Hitmonlee,Tyranitar,19.700%
3337,Hitmonlee,Excadrill,19.643%
3338,Hitmonlee,Politoed,19.564%
3339,Hitmonlee,Arcanine,19.139%
3340,Hitmonlee,Inteleon,18.808%
3341,Hitmonlee,Bouffalant,18.808%
3342,Scolipede,Cinderace,56.046%
3343,Scolipede,Arcanine,36.566%
3344,Scolipede,Porygon2,35.711%
3345,Scolipede,Exeggutor,34.761%
3346,Scolipede,Azumarill,34.733%
3347,Scolipede,Rillaboom,14.708%
3348,Scolipede,Urshifu-Rapid-Strike,13.795%
3349,Scolipede,Milotic,13.778%
3350,Scolipede,Togekiss,13.505%
3351,Scolipede,Indeedee-F,13.502%
3352,Dunsparce,Indeedee-F,52.447%
3353,Dunsparce,Togekiss,51.852%
3354,Dunsparce,Dragapult,45.061%
3355,Dunsparce,Cobalion,44.225%
3356,Dunsparce,Espeon,44.044%
3357,Dunsparce,Indeedee,17.110%
3358,Dunsparce,Porygon2,14.737%
3359,Dunsparce,Pikachu,14.460%
3360,Dunsparce,Lickilicky,11.025%
3361,Dunsparce,Wigglytuff,11.025%
3362,Sandslash,Tyranitar,80.958%
3363,Sandslash,Arcanine,56.404%
3364,Sandslash,Gyarados,48.152%
3365,Sandslash,Espeon,40.716%
3366,Sandslash,Clefable,28.962%
3367,Sandslash,Rillaboom,14.652%
3368,Sandslash,Togekiss,14.466%
3369,Sandslash,Indeedee-F,12.345%
3370,Sandslash,Tauros,12.285%
3371,Sandslash,Gigalith,11.226%
3372,Steelix,Dusclops,78.722%
3373,Steelix,Togekiss,71.720%
3374,Steelix,Arcanine,57.000%
3375,Steelix,Urshifu,55.020%
3376,Steelix,Goodra,54.759%
3377,Steelix,Incineroar,22.682%
3378,Steelix,Gyarados,22.077%
3379,Steelix,Snorlax,20.961%
3380,Steelix,Rillaboom,17.229%
3381,Steelix,Clefairy,8.753%
3382,Noctowl,Tyranitar,53.605%
3383,Noctowl,Hitmontop,52.253%
3384,Noctowl,Claydol,50.083%
3385,Noctowl,Durant,50.083%
3386,Noctowl,Machoke,42.543%
3387,Noctowl,Rillaboom,26.808%
3388,Noctowl,Indeedee-F,24.176%
3389,Noctowl,Politoed,23.752%
3390,Noctowl,Kingdra,23.667%
3391,Noctowl,Scizor,23.579%
3392,Corsola,Dusclops,94.336%
3393,Corsola,Togekiss,88.996%
3394,Corsola,Incineroar,88.447%
3395,Corsola,Venusaur,87.733%
3396,Corsola,Torkoal,87.733%
3397,Corsola,Flygon,6.603%
3398,Corsola,Sylveon,6.603%
3399,Corsola,Darmanitan-Galar,6.603%
3400,Corsola,Indeedee-F,6.069%
3401,Corsola,Cobalion,4.679%
3402,Mime Jr.,Mimikyu,99.946%
3403,Mime Jr.,Shuckle,99.827%
3404,Mime Jr.,Chansey,99.827%
3405,Mime Jr.,Dragapult,99.789%
3406,Mime Jr.,Indeedee-F,99.480%
3407,Mime Jr.,Scrafty,0.335%
3408,Mime Jr.,Bewear,0.130%
3409,Mime Jr.,Meowth,0.130%
3410,Mime Jr.,Weezing,0.130%
3411,Mime Jr.,Wobbuffet,0.130%
3412,Gourgeist-Large,Dragapult,99.986%
3413,Gourgeist-Large,Terrakion,99.986%
3414,Gourgeist-Large,Togekiss,99.986%
3415,Gourgeist-Large,Whimsicott,99.986%
3416,Gourgeist-Large,Arcanine,99.986%
3417,Gourgeist-Large,Weezing-Galar,0.014%
3418,Gourgeist-Large,Duraludon,0.014%
3419,Gourgeist-Large,Togetic,0.014%
3420,Gourgeist-Large,Talonflame,0.014%
3421,Gourgeist-Large,Scrafty,0.014%
